information,source_file_name,page_number
"DIAGNOSTIC AND STATISTICAL 
MANUAL OF
MENTAL DISORDERS
FIFTH EDITION
DSM-5™",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,2
"American Psychiatric Association
Officers 2012–2013
PRESIDENT  DILIP V. J ESTE , M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,3
"ERIK R. V ANDERLIP , M.D., 
MEMBER -IN-TRAINING  TRUSTEE -ELECT",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,3
"Washington, DC
London, EnglandDIAGNOSTIC AND STATISTICAL 
MANUAL OF
MENTAL DISORDERS
FIFTH EDITION
DSM-5™",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,4
"Copyright © 2013 American Psychiatric Association
DSM and DSM-5 are trademarks of the American Psychiatric Association. Use of these terms
is prohibited without perm ission of the American Psychiatric Association",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,5
"ALL RIGHTS RESERVED. Unless auth orized in writing by the APA,  no part of this book may
be reproduced or used in a manner inconsistent with the APA’s copyright. This prohibition
applies to unauthorized uses or reproductions in any form, including electronic applications",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,5
"Correspondence regarding copyright permissions  should be directed to DSM Permissions,
American Psychiatric Publishing, 1000 Wilso n Boulevard, Suite 1825, Arlington, VA 22209-
3901",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,5
Manufactured in the United States  of America on acid-free paper,Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,5
"ISBN 978-0-89042-554-1 (Hardcover) 2nd printing June 2013
ISBN 978-0-89042-555-8 (Paperba ck) 2nd prin ting June 2013
American Psychiatric Association
1000 Wilson Boulevard
Arlington, VA 22209-3901
www.psych.org
The correct citation for this book is American Psychiatric Association: Diagnostic and Statisti-
cal Manual of Mental Disorders,  Fifth Edition. Arlington, VA, American Psychiatric Associa-
tion, 2013",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,5
"Library of Congress Cataloging-in-Publication Data
Diagnostic and statistical manual of mental disorders : DSM-5. — 5th ed",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,5
"ISBN 978-0-89042-554-1 (hardcover : alk. paper)  — ISBN 978-0-89042-555-8 (pbk. : alk. paper)
I. American Psychiatric Association. II. American Psychiatric Association. DSM-5 Task Force",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,5
"III. Title: DSM-5. IV. Title: DSM-V. 
[DNLM: 1. Diagnostic and statistical manual of mental disorders. 5th ed. 2. Mental Disorders—
classification. 3. Mental Disorders—diagnosis. WM 15]
RC455.2.C4
616.89'075—dc23
2013011061
British Library Cataloguing in Publication Data
A CIP record is available from the British Library",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,5
